timestamp,open,high,low,close,volume
2019-03-26,0.0569,0.0749,0.0569,0.0700,286043
2019-03-25,0.0875,0.0875,0.0571,0.0599,80242
2019-03-22,0.0800,0.0949,0.0695,0.0727,147881
2019-03-21,0.0695,0.0770,0.0650,0.0770,252531
2019-03-20,0.0675,0.0699,0.0600,0.0695,268611
2019-03-19,0.0650,0.0770,0.0600,0.0675,346593
2019-03-18,0.0455,0.0650,0.0455,0.0650,73973
2019-03-15,0.0520,0.0600,0.0510,0.0510,38902
2019-03-14,0.0600,0.0600,0.0510,0.0510,15145
2019-03-13,0.0550,0.0600,0.0510,0.0510,37672
2019-03-12,0.0600,0.0600,0.0600,0.0600,10166
2019-03-11,0.0600,0.0640,0.0551,0.0600,31380
2019-03-08,0.0602,0.0650,0.0550,0.0650,177622
2019-03-07,0.0800,0.0897,0.0600,0.0700,282605
2019-03-06,0.0725,0.0725,0.0610,0.0700,126074
2019-03-05,0.0675,0.0750,0.0605,0.0697,141233
2019-03-04,0.0600,0.0700,0.0492,0.0605,312614
2019-03-01,0.0750,0.0750,0.0600,0.0600,112410
2019-02-28,0.0700,0.0750,0.0700,0.0700,20906
2019-02-27,0.0732,0.0750,0.0660,0.0750,58436
2019-02-26,0.0700,0.0750,0.0700,0.0725,88700
2019-02-25,0.0750,0.0800,0.0750,0.0800,31838
2019-02-22,0.0750,0.0750,0.0750,0.0750,40000
2019-02-21,0.0800,0.0800,0.0696,0.0750,127149
2019-02-20,0.0894,0.0894,0.0741,0.0849,45488
2019-02-19,0.1000,0.1000,0.0750,0.0759,425770
2019-02-15,0.0701,0.0938,0.0701,0.0938,47387
2019-02-14,0.0752,0.0752,0.0750,0.0750,51802
2019-02-13,0.0950,0.0999,0.0750,0.0800,100070
2019-02-12,0.1200,0.1249,0.0880,0.0900,85185
2019-02-11,0.1310,0.1500,0.1100,0.1200,376617
2019-02-08,0.1117,0.1400,0.1035,0.1400,298965
2019-02-07,0.1350,0.1400,0.1100,0.1297,116260
2019-02-06,0.1205,0.1400,0.1000,0.1400,374053
2019-02-05,0.1049,0.1399,0.0500,0.1200,910586
2019-02-04,0.0467,0.0949,0.0451,0.0910,637009
2019-02-01,0.0350,0.0460,0.0300,0.0450,558199
2019-01-31,0.0400,0.0415,0.0265,0.0265,244176
2019-01-30,0.0460,0.0460,0.0400,0.0400,96830
2019-01-29,0.0430,0.0470,0.0420,0.0470,15310
